id,userid,giftscore,gifttype,giftstate,giftdate,paydate
86471722,143063576,15,alipay_super_package_gift,0,2016-12-26 00:32:47.000,NULL
86471723,143063576,10,alipay_super_package_gift,0,2016-12-26 00:32:47.000,NULL
86471724,143063576,5,alipay_super_package_gift,0,2016-12-26 00:32:47.000,NULL
103445603,143063576,10,borrow_story34651,0,2017-07-30 19:30:46.000,NULL
74768114,143063576,5,superred,0,2016-08-25 16:18:59.553,NULL
103921178,145872100,10,borrow_story34651,0,2017-08-14 18:30:56.000,NULL
16765495,145872100,1,flottery_gift,1,2016-03-19 09:20:11.000,2016-06-17 20:00:33.200
81780988,145872100,0,super_rain_26819,0,2016-12-06 17:19:29.000,NULL
82219266,150366416,188,20161212_licai_hongbao_1677,0,2016-12-08 10:40:19.000,NULL
82219265,150366416,188,20161212_licai_hongbao_1858,0,2016-12-08 10:40:19.000,NULL
82219267,150366416,188,20161212_licai_hongbao_1942,0,2016-12-08 10:40:19.000,NULL
19813246,150366416,10,alipay_package_gift,0,2016-03-25 12:12:38.000,NULL
19813247,150366416,20,alipay_package_gift,0,2016-03-25 12:12:38.000,NULL
19813248,150366416,20,alipay_package_gift,0,2016-03-25 12:12:38.000,NULL
19813250,150366416,50,alipay_package_gift,0,2016-03-25 12:12:38.000,NULL
100177417,150366416,50,alipay_super_package_gift,0,2017-05-30 08:56:58.000,NULL
100177418,150366416,20,alipay_super_package_gift,0,2017-05-30 08:56:58.000,NULL
100177419,150366416,15,alipay_super_package_gift,0,2017-05-30 08:56:58.000,NULL
100177420,150366416,10,alipay_super_package_gift,0,2017-05-30 08:56:58.000,NULL
100177421,150366416,5,alipay_super_package_gift,0,2017-05-30 08:56:58.000,NULL
103594248,150366416,10,borrow_story34651,0,2017-08-03 00:15:23.000,NULL
77912454,150366416,2,mario_gift,1,2016-10-21 00:03:01.000,2016-11-06 21:51:47.370
81757031,150366416,0,super_rain_26819,0,2016-12-06 14:42:57.000,NULL
25873594,153069043,5,alipay_package_gift,0,2016-04-02 16:48:13.000,NULL
25873595,153069043,10,alipay_package_gift,0,2016-04-02 16:48:13.000,NULL
25873596,153069043,10,alipay_package_gift,0,2016-04-02 16:48:13.000,NULL
25873597,153069043,20,alipay_package_gift,0,2016-04-02 16:48:13.000,NULL
25873598,153069043,20,alipay_package_gift,0,2016-04-02 16:48:13.000,NULL
25873599,153069043,35,alipay_package_gift,0,2016-04-02 16:48:13.000,NULL
32742108,153069043,5,alipay_package_gift,0,2016-05-08 04:31:19.000,NULL
32742109,153069043,5,alipay_package_gift,0,2016-05-08 04:31:19.000,NULL
32742110,153069043,10,alipay_package_gift,0,2016-05-08 04:31:19.000,NULL
32742111,153069043,10,alipay_package_gift,0,2016-05-08 04:31:19.000,NULL
32742112,153069043,20,alipay_package_gift,0,2016-05-08 04:31:19.000,NULL
32742113,153069043,20,alipay_package_gift,0,2016-05-08 04:31:19.000,NULL
32742114,153069043,30,alipay_package_gift,0,2016-05-08 04:31:19.000,NULL
55709740,153069043,50,alipay_super_package_gift,0,2016-07-03 18:52:10.000,NULL
55709741,153069043,20,alipay_super_package_gift,0,2016-07-03 18:52:10.000,NULL
55709742,153069043,30,alipay_super_package_gift,0,2016-07-03 18:52:10.000,NULL
103079596,153069043,50,alipay_super_package_gift,0,2017-07-21 21:17:04.000,NULL
103079597,153069043,20,alipay_super_package_gift,0,2017-07-21 21:17:04.000,NULL
103079598,153069043,15,alipay_super_package_gift,0,2017-07-21 21:17:04.000,NULL
103079599,153069043,10,alipay_super_package_gift,0,2017-07-21 21:17:04.000,NULL
103079600,153069043,5,alipay_super_package_gift,0,2017-07-21 21:17:04.000,NULL
103437253,153069043,10,borrow_story34651,0,2017-07-30 15:44:45.000,NULL
99548879,153069043,5,gghb_taobao,1,2017-05-23 18:54:16.000,2017-05-25 13:20:18.690
103400527,153069043,28,licai_xinshou,0,2017-07-29 19:36:44.000,NULL
99569709,153069043,10,super_newuser_gift_a,0,2017-05-23 21:17:54.000,NULL
99569711,153069043,20,super_newuser_gift_bgg,0,2017-05-23 21:17:54.000,NULL
99569710,153069043,20,super_newuser_gift_cgg,0,2017-05-23 21:17:54.000,NULL
99569712,153069043,50,super_newuser_gift_dgg,0,2017-05-23 21:17:54.000,NULL
82054015,155310178,188,20161212_licai_hongbao_1677,0,2016-12-08 07:31:43.000,NULL
82054014,155310178,188,20161212_licai_hongbao_1858,0,2016-12-08 07:31:43.000,NULL
82054016,155310178,188,20161212_licai_hongbao_1942,0,2016-12-08 07:31:43.000,NULL
103764817,155310178,10,borrow_story34651,0,2017-08-09 12:34:10.000,NULL
81824725,155310178,10,super_gift1_25222,0,2016-12-06 21:02:05.000,NULL
81824726,155310178,20,super_gift1_25222,0,2016-12-06 21:02:05.000,NULL
81824727,155310178,20,super_gift1_25222,0,2016-12-06 21:02:05.000,NULL
81824728,155310178,50,super_gift1_25222,0,2016-12-06 21:02:05.000,NULL
69261360,155310178,10,super_newuser_gift,0,2016-08-07 03:37:44.000,NULL
69261361,155310178,20,super_newuser_gift,0,2016-08-07 03:37:44.000,NULL
69261362,155310178,20,super_newuser_gift,0,2016-08-07 03:37:44.000,NULL
69261363,155310178,50,super_newuser_gift,0,2016-08-07 03:37:44.000,NULL
30744362,156258310,10,alipay_package_gift,0,2016-05-01 02:01:44.000,NULL
30744363,156258310,20,alipay_package_gift,0,2016-05-01 02:01:44.000,NULL
30744364,156258310,20,alipay_package_gift,0,2016-05-01 02:01:44.000,NULL
30744365,156258310,50,alipay_package_gift,0,2016-05-01 02:01:44.000,NULL
103539597,156258310,50,alipay_super_package_gift,0,2017-08-01 21:49:30.000,NULL
103539598,156258310,20,alipay_super_package_gift,0,2017-08-01 21:49:30.000,NULL
103539599,156258310,15,alipay_super_package_gift,0,2017-08-01 21:49:30.000,NULL
103539600,156258310,10,alipay_super_package_gift,0,2017-08-01 21:49:30.000,NULL
103539601,156258310,5,alipay_super_package_gift,0,2017-08-01 21:49:30.000,NULL
103290710,156258310,10,borrow_story34651,0,2017-07-27 01:17:11.000,NULL
104218009,156749659,1,1yuangou_STORY #30267,0,2017-08-25 23:08:03.000,NULL
32281298,156749659,10,alipay_package_gift,0,2016-05-07 14:06:50.000,NULL
32281299,156749659,20,alipay_package_gift,0,2016-05-07 14:06:50.000,NULL
32281300,156749659,20,alipay_package_gift,0,2016-05-07 14:06:50.000,NULL
32281301,156749659,50,alipay_package_gift,0,2016-05-07 14:06:50.000,NULL
103861542,156749659,10,borrow_story34651,0,2017-08-12 15:35:54.000,NULL
32580114,156790349,20,alipay_package_gift,0,2016-05-07 20:22:16.000,NULL
32580115,156790349,20,alipay_package_gift,0,2016-05-07 20:22:16.000,NULL
32580116,156790349,50,alipay_package_gift,0,2016-05-07 20:22:16.000,NULL
32580113,156790349,10,alipay_package_gift,1,2016-05-07 20:22:16.000,2016-07-02 10:16:59.530
77525178,156790349,50,alipay_super_package_gift,0,2016-10-09 11:02:03.000,NULL
77525179,156790349,20,alipay_super_package_gift,0,2016-10-09 11:02:03.000,NULL
77525180,156790349,15,alipay_super_package_gift,0,2016-10-09 11:02:03.000,NULL
77525181,156790349,10,alipay_super_package_gift,0,2016-10-09 11:02:03.000,NULL
77525182,156790349,5,alipay_super_package_gift,0,2016-10-09 11:02:03.000,NULL
77655814,156790349,50,alipay_super_package_gift,0,2016-10-15 15:11:25.000,NULL
77655815,156790349,20,alipay_super_package_gift,0,2016-10-15 15:11:25.000,NULL
77655816,156790349,15,alipay_super_package_gift,0,2016-10-15 15:11:25.000,NULL
77655817,156790349,10,alipay_super_package_gift,0,2016-10-15 15:11:25.000,NULL
77655818,156790349,5,alipay_super_package_gift,0,2016-10-15 15:11:25.000,NULL
43258072,163198043,5,alipay_package_gift,0,2016-06-22 09:44:35.000,NULL
43258073,163198043,5,alipay_package_gift,0,2016-06-22 09:44:35.000,NULL
43258069,163198043,50,alipay_super_package_gift,0,2016-06-22 09:44:35.000,NULL
43258070,163198043,30,alipay_super_package_gift,0,2016-06-22 09:44:35.000,NULL
43258071,163198043,10,alipay_super_package_gift,0,2016-06-22 09:44:35.000,NULL
103626960,163198043,10,borrow_story34651,0,2017-08-03 23:05:45.000,NULL
103886468,166040214,10,borrow_story34651,0,2017-08-13 12:38:44.000,NULL
103887313,166040214,10,licai_tongyong_10,0,2017-08-13 13:03:23.000,NULL
61813937,168088270,50,alipay_super_package_gift,0,2016-07-15 13:38:32.000,NULL
61813938,168088270,20,alipay_super_package_gift,0,2016-07-15 13:38:32.000,NULL
61813939,168088270,30,alipay_super_package_gift,0,2016-07-15 13:38:32.000,NULL
103884080,168088270,10,borrow_story34651,0,2017-08-13 11:21:57.000,NULL
67210074,168088270,10,super_newuser_gift,0,2016-08-01 11:21:39.000,NULL
67210075,168088270,20,super_newuser_gift,0,2016-08-01 11:21:39.000,NULL
67210076,168088270,20,super_newuser_gift,0,2016-08-01 11:21:39.000,NULL
67210077,168088270,50,super_newuser_gift,0,2016-08-01 11:21:39.000,NULL
103716990,169155815,10,borrow_story34651,0,2017-08-07 10:52:54.000,NULL
91360160,169155815,20,new_year_2017_licai_niwodai_20_28137,0,2017-01-23 19:00:25.000,2017-04-01 18:08:41.483
103618293,169281913,10,borrow_story34651,0,2017-08-03 18:24:04.000,NULL
103618225,169281913,5,cfdaka_0629,0,2017-08-03 18:21:01.000,NULL
105094862,169281913,128,licai_920_10w_by_36792,0,2017-09-24 21:54:59.000,NULL
